key,Result
22190,1
22191,-1
22192,-1
22193,1
22194,1
22195,-1
22196,-1
22197,-1
22198,1
22199,1
22200,1
22201,-1
22202,1
22203,1
22204,1
22205,-1
22206,-1
22207,1
22208,1
22209,-1
22210,-1
22211,1
22212,1
22213,1
22214,1
22215,1
22216,1
22217,1
22218,1
22219,1
22220,1
22221,1
22222,-1
22223,1
22224,1
22225,1
22226,1
22227,-1
22228,-1
22229,1
22230,-1
22231,-1
22232,-1
22233,-1
22234,-1
22235,-1
22236,-1
22237,1
22238,1
22239,1
22240,1
22241,1
22242,1
22243,1
22244,1
22245,1
22246,1
22247,-1
22248,-1
22249,-1
22250,1
22251,1
22252,1
22253,1
22254,1
22255,1
22256,-1
22257,1
22258,-1
22259,-1
22260,1
22261,-1
22262,1
22263,1
22264,-1
22265,-1
22266,-1
22267,1
22268,1
22269,1
22270,1
22271,1
22272,1
22273,1
22274,1
22275,-1
22276,-1
22277,1
22278,-1
22279,1
22280,1
22281,-1
22282,1
22283,1
22284,1
22285,1
22286,1
22287,1
22288,-1
22289,1
22290,1
22291,-1
22292,1
22293,-1
22294,1
22295,-1
22296,-1
22297,-1
22298,1
22299,-1
22300,1
22301,1
22302,1
22303,1
22304,1
22305,1
22306,-1
22307,-1
22308,1
22309,-1
22310,1
22311,-1
22312,-1
22313,1
22314,-1
22315,-1
22316,-1
22317,1
22318,1
22319,1
22320,1
22321,-1
22322,-1
22323,-1
22324,1
22325,-1
22326,-1
22327,1
22328,-1
22329,1
22330,-1
22331,1
22332,1
22333,1
22334,1
22335,-1
22336,1
22337,1
22338,-1
22339,-1
22340,1
22341,-1
22342,-1
22343,1
22344,1
22345,-1
22346,1
22347,-1
22348,1
22349,1
22350,-1
22351,-1
22352,-1
22353,-1
22354,-1
22355,1
22356,-1
22357,-1
22358,-1
22359,1
22360,-1
22361,1
22362,1
22363,1
22364,1
22365,-1
22366,1
22367,-1
22368,-1
22369,-1
22370,-1
22371,-1
22372,1
22373,-1
22374,1
22375,1
22376,-1
22377,1
22378,1
22379,1
22380,-99
22381,-99
22382,-99
22383,-99
22384,-99
22385,-99
22386,-99
22387,-99
22388,-99
22389,1
22390,-99
22391,-99
22392,1
22393,-99
22394,-99
22395,-99
22396,-99
22397,-99
22398,-99
22399,-99
22400,-99
22401,-99
22402,-99
22403,-99
22404,-99
22405,-99
22406,-99
22407,-99
22408,1
22409,-99
22410,-99
22411,-1
22412,1
22413,1
22414,1
22415,-99
22416,1
22417,1
22418,1
22419,-99
22420,-99
22421,1
22422,-99
22423,-99
22424,-99
22425,1
22426,1
22427,1
22428,1
22429,1
22430,1
22431,1
22432,-99
22433,1
22434,1
22435,-99
22436,-99
22437,-99
22438,1
22439,1
22440,-99
22441,-99
22442,-99
22443,-99
22444,-99
22445,-99
22446,-99
22447,-99
22448,-99
22449,-99
22450,-99
22451,-99
22452,1
22453,-99
22454,-99
22455,-99
22456,-99
22457,-99
22458,-99
22459,-99
22460,-99
22461,-99
22462,-99
22463,-99
22464,1
22465,-99
22466,-99
22467,-99
22468,-99
22469,1
22470,-99
22471,-99
22472,-99
22473,-99
22474,-99
22475,-99
22476,-99
22477,-99
22478,1
22479,1
22480,-99
22481,1
22482,-99
22483,-99
22484,-99
22485,-99
22486,-99
22487,1
22488,-99
22489,-99
22490,-99
22491,-99
22492,-99
22493,-99
22494,-99
22495,-99
22496,-99
22497,-99
22498,-99
22499,-99
22500,-99
22501,-99
22502,-99
22503,-99
22504,-99
22505,-99
22506,-99
22507,-99
22508,-99
22509,-99
22510,-99
22511,-1
22512,-1
22513,1
22514,-99
22515,-99
22516,-99
22517,-99
22518,-99
22519,-99
22520,-99
22521,-99
22522,-99
22523,1
22524,1
22525,-99
22526,-99
22527,-99
22528,-99
22529,1
22530,-99
22531,-99
22532,-99
22533,-99
22534,-99
22535,-99
22536,-99
22537,-99
22538,-99
22539,-1
22540,-99
22541,-99
22542,-99
22543,-99
22544,-99
22545,-99
22546,-99
22547,-99
22548,1
22549,-99
22550,1
22551,-99
22552,-99
22553,1
22554,1
22555,-99
22556,1
22557,1
22558,1
22559,1
22560,1
22561,1
22562,-99
22563,-99
22564,-99
22565,-1
22566,-99
22567,1
22568,-99
22569,-1
22570,-99
22571,-1
22572,-99
22573,-99
22574,-99
22575,-99
22576,-99
22577,-99
22578,-99
22579,-99
22580,-99
22581,-99
22582,-99
22583,-99
22584,-99
22585,1
22586,-99
22587,-99
22588,1
22589,1
22590,1
22591,1
22592,-99
22593,-99
22594,-99
22595,-99
22596,-99
22597,-99
22598,1
22599,-99
22600,-99
22601,-99
22602,-1
22603,-99
22604,-99
22605,-99
22606,1
22607,1
22608,-99
22609,1
22610,-99
22611,-99
22612,1
22613,1
22614,-99
22615,1
22616,1
22617,-99
22618,-99
22619,-99
22620,-99
22621,-99
22622,-99
22623,-99
22624,-99
22625,1
22626,1
22627,-99
22628,-99
22629,-1
22630,-99
22631,-99
22632,-1
22633,-99
22634,-99
22635,-99
22636,-99
22637,-99
22638,-99
22639,1
22640,-99
22641,-99
22642,-99
22643,-99
22644,-99
22645,-99
22646,-99
22647,1
22648,-99
22649,-99
22650,-99
22651,1
22652,-99
22653,-99
22654,-99
22655,1
22656,-99
22657,1
22658,-99
22659,-1
22660,-99
22661,1
22662,-99
22663,-99
22664,-99
22665,-99
22666,1
22667,-99
22668,-99
22669,-99
22670,-99
22671,-99
22672,-99
22673,-99
22674,-99
22675,-99
22676,1
22677,1
22678,1
22679,1
22680,1
22681,1
22682,-99
22683,-99
22684,1
22685,-99
22686,-99
22687,-1
22688,1
22689,-99
22690,-99
22691,1
22692,-99
22693,-99
22694,-1
22695,-99
22696,-99
22697,1
22698,-99
22699,-99
22700,-99
22701,-99
22702,-99
22703,1
22704,-1
22705,1
22706,-99
22707,-99
22708,-99
22709,-99
22710,-99
22711,-99
22712,-99
22713,1
22714,-99
22715,-99
22716,1
22717,1
22718,1
22719,1
22720,-99
22721,-99
22722,1
22723,-99
22724,-1
22725,-1
22726,-99
22727,-99
22728,-99
22729,-99
22730,1
22731,1
22732,1
22733,1
22734,-99
22735,-99
22736,-99
22737,1
22738,-99
22739,-99
22740,1
22741,-99
22742,1
22743,1
22744,-99
22745,-99
22746,-99
22747,-99
22748,-99
22749,-99
22750,-99
22751,-99
22752,-99
22753,-1
22754,-99
22755,-99
22756,-99
22757,-99
22758,-99
22759,-99
22760,1
22761,1
22762,-99
22763,-1
22764,-99
22765,-99
22766,-99
22767,1
22768,-99
22769,-99
22770,-99
22771,-99
22772,1
22773,-99
22774,-99
22775,-99
22776,-99
22777,1
22778,-1
22779,-99
22780,1
22781,-99
22782,-99
22783,-99
22784,1
22785,1
22786,-99
22787,-1
22788,1
22789,-1
22790,1
22791,-99
22792,1
22793,-99
22794,-1
22795,1
22796,-1
22797,1
22798,1
22799,1
22800,-99
22801,1
22802,-99
22803,-99
22804,-99
22805,-99
22806,-99
22807,-99
22808,-99
22809,1
22810,-99
22811,-1
22812,-99
22813,-99
22814,-99
22815,1
22816,-99
22817,-99
22818,-99
22819,-99
22820,-1
22821,-99
22822,-1
22823,1
22824,-99
22825,1
22826,-99
22827,-99
22828,-99
22829,-99
22830,-99
22831,-99
22832,-99
22833,1
22834,1
22835,1
22836,-1
22837,-99
22838,-99
22839,-99
22840,-99
22841,1
22842,-99
22843,-99
22844,-1
22845,-99
22846,1
22847,1
22848,-1
22849,1
22850,-99
22851,-99
22852,-99
22853,-99
22854,-99
22855,1
22856,-99
22857,1
22858,-99
22859,1
22860,1
22861,-99
22862,-99
22863,-1
22864,-99
22865,1
22866,-99
22867,-99
22868,-1
22869,-99
22870,1
22871,-99
22872,-99
22873,1
22874,-99
22875,-99
22876,-99
22877,1
22878,1
22879,1
22880,1
22881,-1
22882,-1
22883,-99
22884,1
22885,-1
22886,-1
22887,-99
22888,-1
22889,1
22890,-99
22891,1
22892,-99
22893,1
22894,1
22895,-1
22896,1
22897,1
22898,-1
22899,-1
22900,1
22901,-99
22902,-1
22903,1
22904,1
22905,-99
22906,1
22907,-1
22908,1
22909,1
22910,-1
22911,-1
22912,-1
22913,-99
22914,-1
22915,1
22916,-1
22917,-99
22918,-1
22919,1
22920,-1
22921,1
22922,1
22923,1
22924,1
22925,-1
22926,1
22927,-1
22928,-1
22929,-1
22930,-1
22931,-99
22932,1
22933,-99
22934,1
22935,1
22936,-1
22937,-1
22938,1
22939,1
22940,-99
22941,1
22942,-99
22943,-99
22944,-99
22945,-99
22946,1
22947,-99
22948,1
22949,-99
22950,1
22951,-99
22952,-99
22953,-99
22954,-99
22955,-99
22956,-99
22957,-99
22958,-99
22959,-99
22960,-99
22961,-99
22962,-99
22963,-99
22964,-1
22965,-99
22966,-1
22967,-99
22968,1
22969,-1
22970,-1
22971,-99
22972,1
22973,-99
22974,-1
22975,-99
22976,-99
22977,-99
22978,-99
22979,1
22980,1
22981,1
22982,-99
22983,-99
22984,-99
22985,1
22986,1
22987,-1
22988,-99
22989,-99
22990,-99
22991,-99
22992,1
22993,-99
22994,-99
22995,-1
22996,-99
22997,-99
22998,-99
22999,-99
23000,-99
23001,-99
23002,-1
23003,-99
23004,-99
23005,-1
23006,1
23007,-99
23008,1
23009,-99
23010,-99
23011,1
23012,-99
23013,1
23014,-99
23015,1
23016,-99
23017,-99
23018,-1
23019,1
23020,-99
23021,1
23022,-99
23023,-99
23024,1
23025,-99
23026,-99
23027,-99
23028,-1
23029,-99
23030,1
23031,1
23032,1
23033,-99
23034,-99
23035,-1
23036,1
23037,-1
23038,-99
23039,1
23040,-99
23041,-99
23042,1
23043,-99
23044,1
23045,-99
23046,-99
23047,-1
23048,1
23049,-1
23050,1
23051,-99
23052,-1
23053,-1
23054,-99
23055,1
23056,-1
23057,1
23058,-99
23059,-99
23060,-99
23061,1
23062,-99
23063,-99
23064,-99
23065,1
23066,1
23067,1
23068,-99
23069,-99
23070,1
23071,-99
23072,-99
23073,-99
23074,-99
23075,1
23076,-99
23077,1
23078,1
23079,-99
23080,1
23081,1
23082,-99
23083,1
23084,-99
23085,-99
23086,1
23087,-99
23088,1
23089,-99
23090,-99
23091,-99
23092,1
23093,-99
23094,-99
23095,1
23096,-99
23097,-99
23098,1
23099,1
23100,1
23101,-99
23102,-99
23103,-99
23104,-99
23105,-99
23106,1
23107,1
23108,-99
23109,-99
23110,-99
23111,1
23112,1
23113,-1
23114,1
23115,-99
23116,-99
23117,-99
23118,-99
23119,-99
23120,-99
23121,-99
23122,-1
23123,1
23124,-99
23125,-99
23126,-1
23127,-99
23128,-1
23129,-99
23130,1
23131,1
23132,-99
23133,-99
23134,-1
23135,-1
23136,1
23137,-99
23138,-99
23139,-99
23140,-99
23141,1
23142,-99
23143,-99
23144,-99
23145,1
23146,-1
23147,1
23148,1
23149,-99
23150,-99
23151,1
23152,-99
23153,-99
23154,-99
23155,1
23156,-99
23157,-1
23158,-99
23159,-99
23160,-99
23161,1
23162,-99
23163,1
23164,1
23165,-99
23166,-99
23167,-99
23168,1
23169,1
23170,-99
23171,-99
23172,-99
23173,1
23174,-99
23175,-99
23176,-99
23177,-99
23178,-99
23179,-99
23180,-99
23181,-1
23182,-99
23183,1
23184,-99
23185,-99
23186,-99
23187,-99
23188,-99
23189,1
23190,-99
23191,1
23192,1
23193,-1
23194,-99
23195,-99
23196,1
23197,-99
23198,-99
23199,-99
23200,-99
23201,-99
23202,-99
23203,-99
23204,-99
23205,-99
23206,1
23207,-99
23208,1
23209,1
23210,1
23211,1
23212,1
23213,-99
23214,-99
23215,1
23216,1
23217,1
23218,1
23219,1
23220,-1
23221,-99
23222,-99
23223,-99
23224,-99
23225,1
23226,-99
23227,1
23228,-99
23229,1
23230,-99
23231,-1
23232,1
23233,1
23234,-1
23235,-99
23236,1
23237,1
23238,-99
23239,-99
23240,1
23241,-99
23242,-99
23243,-99
23244,-99
23245,1
23246,1
23247,1
23248,1
23249,1
23250,1
23251,-1
23252,-99
23253,-1
23254,-99
23255,1
23256,-99
23257,-99
23258,1
23259,-99
23260,1
23261,-1
23262,1
23263,-1
23264,1
23265,-1
23266,-1
23267,1
23268,1
23269,1
23270,-99
23271,-1
23272,-1
23273,1
23274,-1
23275,-1
23276,-1
23277,1
23278,-99
23279,1
23280,-1
23281,1
23282,1
23283,-1
23284,-99
23285,1
23286,-99
23287,1
23288,-1
23289,-99
23290,1
23291,1
23292,1
23293,-99
23294,1
23295,1
23296,-1
23297,1
23298,1
23299,1
23300,1
23301,-1
23302,-1
23303,1
23304,-1
23305,1
23306,-99
23307,-1
23308,1
23309,1
23310,1
23311,-1
23312,-99
23313,1
23314,-99
23315,-1
23316,1
23317,1
23318,1
23319,1
23320,-1
23321,-1
23322,-1
23323,-1
23324,-99
23325,-99
23326,1
23327,1
23328,1
23329,1
23330,1
23331,-99
23332,-99
23333,1
23334,-1
23335,1
23336,-99
23337,-1
23338,1
23339,-99
23340,1
23341,-99
23342,1
23343,-1
23344,1
23345,-1
23346,-1
23347,1
23348,-99
23349,-99
23350,1
23351,-1
23352,-1
23353,-99
23354,1
23355,1
23356,1
23357,-1
23358,-99
23359,-99
23360,1
23361,1
23362,1
23363,1
23364,-99
23365,1
23366,-99
23367,-99
23368,-99
23369,1
23370,-99
23371,1
23372,-1
23373,-99
23374,-99
23375,-99
23376,-99
23377,-99
23378,1
23379,-99
23380,1
23381,1
23382,-99
23383,1
23384,-99
23385,-1
23386,-1
23387,1
23388,1
23389,-1
23390,-99
23391,-99
23392,-99
23393,1
23394,-99
23395,1
23396,-1
23397,1
23398,-1
23399,-99
23400,-99
23401,-99
23402,-1
23403,1
23404,-1
23405,-99
23406,1
23407,1
23408,-99
23409,-99
23410,-99
23411,-99
23412,1
23413,1
23414,-99
23415,-99
23416,-99
23417,-99
23418,1
23419,-99
23420,-99
23421,1
23422,-1
23423,1
23424,-99
23425,1
23426,-99
23427,-99
23428,1
23429,1
23430,-99
23431,-99
23432,1
23433,1
23434,-99
23435,-1
23436,-99
23437,-99
